theta1,theta2,theta3,theta4,theta5,theta6,theta7,x,y,phi
2.32,-0.42,0.91,1.67,-1.12,0.32,0.47,-11.37,-1.36,237.78
0.18,-0.32,0.04,1.78,-0.33,-1.26,1.43,10.31,7.5,87.09
1.86,-0.42,-1.34,0.8,-2.79,1.08,0.29,6.76,1.66,-29.79
1.06,-0.31,0.9,1.79,-2.7,-0.35,-2.57,3.19,6.23,-124.9
0.87,-1.55,0.76,0.14,-1.66,-0.92,-1.96,6.08,-0.85,-247.52
0.2,-1.02,-0.83,1.14,-2.91,-0.73,-1.18,3.85,-0.2,-305.39
1.59,-1.1,0.95,1.29,-0.29,-0.8,-1.03,0.16,12.69,34.95
2.43,-0.73,-0.99,0.76,-1.66,0.45,-1.06,6.54,6.61,-45.84
2.93,-2.36,-0.8,0.84,-2.52,0.6,1.5,6.41,-1.56,10.89
2.37,-2.7,0.52,1.45,-0.69,1.03,0.66,1.12,9.43,151.26
2.46,-0.1,0.32,2.9,-0.11,0.92,-1.29,1.1,-1.03,292.21
2.16,-1.19,1.07,2.32,-1.98,-1.27,-0.45,-0.69,9.52,37.82
0.47,-2.87,-0.22,1.6,-2.53,1.31,-2.99,-3.08,-2.73,-299.66
2.96,-0.48,0.96,1.22,-1.39,-1.49,1.24,-12.43,1.18,173.03
0.0,-1.61,-1.46,2.85,-1.65,-0.77,1.36,0.14,-9.21,-73.34
0.03,-1.0,1.03,2.46,-1.01,-0.12,-1.88,7.18,3.4,-28.07
0.46,-0.24,-1.36,2.51,-3.12,-0.8,-0.48,1.22,-2.3,-173.61
0.38,-0.94,-0.09,1.19,-2.25,0.67,-0.72,9.02,-7.72,-100.84
2.34,-0.78,0.46,2.34,-2.63,0.21,-0.95,-3.59,11.09,56.72
2.67,-0.78,1.33,0.4,-1.73,-0.96,1.02,-7.94,8.86,111.73
1.64,-1.67,1.37,0.43,-0.77,0.57,0.87,1.85,13.52,139.8
2.17,-0.79,-1.24,2.37,-2.28,0.34,-2.72,2.69,6.17,-123.19
2.72,-1.0,-0.65,2.0,-0.42,-0.93,-2.76,-5.26,7.36,-59.59
1.2,-1.87,0.82,3.07,-0.68,0.19,-0.41,-3.21,5.2,132.93
0.26,-1.77,0.0,0.43,-0.73,-1.32,-0.68,-1.16,-7.46,-218.3
1.92,-2.73,1.2,0.8,-1.35,1.04,-2.77,7.39,2.96,-108.29
0.01,-2.0,0.6,1.28,-0.25,-1.2,-0.92,4.81,-9.91,-142.09
1.62,-1.89,1.54,1.48,-2.28,-1.02,-0.6,6.1,2.72,-65.89
0.74,-0.84,0.94,2.68,-0.5,1.06,-2.39,-0.58,3.14,96.83
2.76,-1.47,0.55,3.1,-2.39,-0.74,-2.52,-2.5,5.5,-40.68
0.65,-0.89,-1.36,1.45,-1.61,-1.3,-3.1,6.34,-4.31,-352.94
0.65,-0.9,-1.06,1.68,-0.87,0.59,-0.66,14.18,-2.94,-32.66
1.48,-3.06,-0.6,2.11,-0.29,-1.31,-1.95,1.14,-4.45,-207.41
0.79,-2.2,1.03,1.45,-2.23,-0.61,-2.77,5.76,-1.71,-260.12
2.23,-0.24,-0.03,0.62,-1.55,-1.48,0.77,0.3,9.75,18.33
2.85,-1.01,1.39,0.68,-2.12,-0.58,-0.76,-4.76,7.04,25.78
0.22,-2.66,0.77,0.89,-1.26,0.17,0.82,1.44,-12.1,-60.16
0.24,-0.25,-0.83,1.19,-2.71,1.46,-0.83,8.33,-6.62,-99.12
2.69,-2.81,1.02,2.18,-2.25,-0.88,0.1,5.97,4.75,2.86
1.64,-0.94,1.08,0.19,-0.37,-0.03,-2.94,0.68,11.4,-78.5
3.13,-1.53,-1.15,1.2,-1.26,-0.96,-0.68,4.69,3.34,-71.62
3.04,-0.57,-1.08,1.34,-0.86,-0.49,-1.38,-4.05,10.11,-0.0
2.44,-3.12,0.97,1.42,-2.24,-0.88,-0.85,3.05,-2.43,-129.49
2.68,-1.66,-0.21,0.14,-2.27,0.6,-1.58,3.08,1.15,-131.78
2.77,-2.78,0.02,1.23,-1.73,0.06,-2.45,5.55,0.41,-165.01
0.16,-3.06,1.19,2.22,-0.35,0.72,-0.59,8.33,1.58,16.62
3.08,-0.76,0.84,0.04,-2.9,0.63,-3.12,-6.76,2.5,-125.48
0.4,-0.04,-0.37,1.7,-2.57,0.43,-0.43,12.28,-0.63,-50.42
0.41,-0.29,1.36,2.98,-2.42,-0.69,-2.65,4.46,3.62,-74.48
1.04,-2.68,-1.03,1.11,-3.11,0.59,-1.31,-1.12,2.49,-308.82
0.01,-2.23,0.97,0.04,-0.74,-1.5,-0.33,-2.66,-6.75,-216.58
2.4,-2.2,-0.19,1.05,-1.77,-0.65,-2.12,4.39,1.15,-199.39
2.22,-0.51,-0.36,1.67,-0.21,0.13,-2.84,-6.12,8.77,5.73
0.75,-2.08,-0.2,2.5,-0.05,0.77,-2.33,7.16,1.82,-36.67
1.93,-0.05,1.46,0.94,-1.45,1.55,1.48,-6.05,-0.66,335.75
1.74,-3.01,-0.83,0.13,-2.58,0.26,0.38,-5.14,2.1,-224.03
2.65,-2.8,1.26,1.79,-1.59,-1.56,-2.39,-0.17,4.24,-151.26
2.27,-0.26,-0.17,1.34,-2.53,1.32,-2.78,-3.09,8.5,-46.41
1.62,-1.2,-1.49,2.52,-0.67,1.13,-2.84,6.1,5.92,-53.29
0.7,-2.93,-0.97,0.17,-1.8,-1.12,-1.52,-1.01,0.48,-428.0
1.42,-1.42,1.16,1.74,-2.67,0.23,-0.55,8.61,6.82,-5.16
1.91,-0.83,0.31,2.89,-3.09,-0.95,-0.9,5.08,6.13,-37.82
1.04,-2.65,-0.99,0.49,-2.32,-1.44,0.48,0.9,1.58,-308.82
2.03,-1.62,-1.11,0.35,-1.78,1.34,-1.38,4.47,-5.19,-124.33
2.5,-1.05,-0.5,0.84,-2.03,-0.73,0.6,5.38,4.89,-21.2
2.54,-1.47,0.34,0.47,-0.96,-0.43,-3.02,0.45,10.19,-144.96
2.6,-0.55,-1.54,1.18,-2.71,1.52,-0.06,4.35,7.34,25.21
1.78,-2.26,-1.41,0.15,-0.11,-0.09,-2.65,-1.4,-5.8,-262.99
2.36,-2.36,-1.47,3.07,-0.83,-0.48,0.7,6.47,6.32,56.72
2.9,-0.93,-0.08,3.06,-2.92,-1.2,-1.21,-0.69,6.0,-21.77
2.93,-1.93,-0.71,1.92,-0.34,1.32,0.43,-5.64,6.47,207.41
0.82,-3.12,0.05,0.57,-1.65,-0.72,0.45,-8.04,-0.92,-206.26
1.47,-1.57,-1.35,2.99,-2.78,-0.69,1.29,5.06,-3.94,-36.67
2.8,-1.77,-0.39,1.64,-2.42,0.05,-2.07,2.88,3.72,-123.76
0.06,-2.04,0.33,2.18,-2.6,0.11,-2.15,-0.1,-5.82,-235.49
0.8,-0.1,-0.64,0.56,-0.09,-1.25,0.38,14.58,3.79,-19.48
1.39,-1.73,1.02,0.92,-0.15,0.84,0.15,1.42,11.67,139.8
2.29,-2.74,0.98,3.13,-1.71,0.78,-1.26,-2.38,6.63,84.22
3.01,-2.29,0.35,1.04,-0.05,0.44,-1.84,-1.88,11.55,37.82
1.3,-1.26,0.76,1.84,-3.01,-1.19,-1.21,2.74,1.19,-158.71
2.37,-2.66,1.04,0.76,-3.1,-0.97,-2.64,1.62,3.56,-297.94
1.54,-1.71,-0.73,2.29,-1.58,0.84,1.16,8.4,6.05,103.71
2.18,-2.67,0.04,2.96,-0.22,-0.3,-1.09,-0.1,7.39,51.57
0.01,-1.98,0.19,0.99,-1.16,0.13,-1.84,-0.94,-10.01,-209.7
0.1,-0.84,0.89,2.43,-0.62,0.48,0.91,-0.61,3.68,191.94
0.69,-1.96,0.7,2.67,-0.73,0.24,-2.08,6.14,3.83,-26.93
0.92,-0.84,0.88,0.73,-0.33,-1.41,-1.68,7.77,6.57,-99.12
2.41,-2.58,0.46,0.52,-0.22,-0.65,-1.26,9.92,2.59,-75.63
2.93,-0.85,-0.63,0.54,-2.04,-1.1,-0.78,-1.74,2.73,-110.58
1.76,-1.87,0.07,0.19,-2.87,1.35,-2.94,4.22,1.28,-246.94
1.94,-2.98,-0.26,1.07,-1.12,0.75,1.19,8.15,-5.26,33.8
0.12,-2.27,-0.48,1.8,-1.88,-0.54,-0.17,-6.54,-4.95,-195.95
3.02,-1.58,-1.01,3.06,-2.79,0.41,-1.7,2.87,5.43,-33.8
0.0,-2.16,-0.88,0.12,-3.14,1.51,-2.3,0.33,-1.2,-392.48
2.79,-0.47,1.19,0.63,-0.43,-1.45,1.44,-13.55,-1.05,211.99
3.11,-0.03,0.01,1.12,-2.35,0.14,-0.6,-10.02,5.3,80.21
3.14,-1.23,0.67,0.88,-0.85,-0.14,-0.32,-13.3,7.83,123.19
2.58,-2.03,0.55,1.73,-2.71,-0.58,0.47,5.99,4.85,0.57
2.68,-1.18,-0.01,1.49,-2.49,-1.36,-0.85,-0.88,3.29,-98.55
1.4,-1.71,-0.76,2.73,-1.83,-0.31,-0.4,10.06,-1.51,-50.42
2.16,-2.62,-0.94,2.19,-0.29,-0.9,0.39,10.03,0.48,-0.57
0.54,-3.05,-0.96,1.04,-1.74,1.45,-0.81,-10.02,1.05,-202.25
0.29,-1.17,0.22,0.92,-3.1,1.57,-2.66,4.97,-3.46,-225.17
2.52,-2.45,1.34,3.1,-1.51,-0.05,-0.37,-6.69,3.81,147.82
1.52,-2.33,1.28,0.7,-2.17,-0.55,-1.21,4.14,-1.41,-158.14
0.12,-0.18,-1.01,2.39,-0.5,0.35,0.73,8.67,6.87,108.86
0.97,-0.49,1.23,0.72,-1.35,1.29,-2.92,2.91,9.97,-31.51
2.88,-0.31,1.22,0.58,-0.97,-0.09,-0.93,-14.04,-1.2,136.36
0.31,-2.53,-0.57,1.54,-1.96,-0.85,0.2,-6.58,-0.66,-221.16
2.22,-0.01,-1.03,0.07,-0.64,1.44,-0.89,0.63,14.62,66.46
0.95,-1.54,-0.08,0.34,-0.23,-0.62,1.3,13.41,-5.06,6.88
3.1,-3.0,1.28,0.95,-2.97,-0.03,-2.66,0.25,2.04,-190.79
1.33,-1.46,-1.19,2.87,-2.77,0.39,0.04,8.05,-3.79,-45.26
0.55,-0.22,-0.71,1.74,-2.86,-0.86,-1.46,3.8,0.95,-218.87
1.65,-2.69,-0.11,0.74,-2.93,0.21,-2.24,0.96,-0.5,-307.68
2.32,-2.96,0.73,1.28,-3.1,-1.26,-0.55,-1.88,1.14,-202.83
0.4,-2.59,-0.19,2.17,-2.24,1.57,-2.87,-0.9,-5.4,-214.86
2.9,-2.96,-0.96,0.72,-1.65,-1.51,0.99,-1.49,-5.52,-141.52
0.15,-2.35,0.95,0.91,-1.35,-0.75,0.18,0.35,-10.88,-129.49
0.86,-1.21,-0.37,0.89,-0.59,1.18,-1.37,14.47,-0.92,-34.95
0.79,-0.08,-1.18,2.43,-1.89,1.23,1.5,5.74,8.01,160.43
0.72,-0.38,-0.87,2.28,-2.39,-0.02,-1.22,9.17,-1.73,-107.72
0.06,-0.76,0.12,2.27,-0.75,-1.48,0.19,12.17,-0.47,-20.05
2.93,-1.18,-0.23,1.51,-0.01,0.11,0.14,-12.71,5.77,187.36
1.28,-2.77,0.69,1.86,-1.76,-1.41,-0.79,2.08,-4.06,-166.16
0.65,-2.02,-0.1,0.26,-0.24,0.06,-0.0,4.82,-13.16,-79.64
0.39,-1.34,-0.49,2.35,-1.04,-1.52,0.91,9.75,-6.09,-42.4
2.66,-2.21,0.13,2.21,-2.96,0.99,-0.86,6.45,5.78,-2.29
0.86,-3.14,0.49,2.1,-0.91,-1.05,-0.5,2.34,-7.68,-123.19
0.59,-2.01,-1.53,1.57,-2.19,-1.07,-2.01,0.35,-1.38,-381.02
1.71,-2.2,-1.41,0.65,-0.2,-0.69,-2.15,-0.23,-5.75,-245.8
0.31,-2.03,0.93,0.44,-1.51,1.44,-0.05,9.92,-8.89,-26.93
0.91,-0.53,0.57,2.24,-0.69,-1.19,0.28,1.41,11.22,91.1
2.29,-1.54,-0.39,1.22,-2.92,-0.8,0.79,2.27,-0.01,-77.35
1.41,-0.83,1.44,2.01,-1.86,0.6,-0.23,-5.97,8.54,145.53
0.84,-2.53,-1.52,0.19,-0.04,0.58,-0.33,-10.43,-3.31,-161.0
1.23,-0.15,0.85,0.63,-1.36,0.97,0.66,-3.84,13.44,162.15
2.54,-0.62,-1.55,0.25,-3.06,1.28,-3.11,-0.53,4.47,-244.65
2.55,-1.66,-1.41,0.82,-0.57,-0.61,-1.52,6.22,-1.45,-137.51
2.31,-1.25,1.25,2.84,-0.81,-1.56,-2.1,-2.39,3.74,38.96
3.02,-2.12,-1.4,2.59,-1.6,-1.49,-2.45,1.2,3.07,-197.67
2.47,-0.62,-0.13,0.53,-0.3,0.4,0.58,-9.71,13.0,167.88
2.73,-2.3,0.57,1.65,-2.61,1.04,0.0,3.98,9.84,61.88
1.7,-0.15,-0.83,0.85,-1.86,-0.11,1.24,7.98,9.3,48.13
2.12,-0.71,1.09,3.04,-0.71,0.17,-2.89,-1.35,1.67,120.89
1.53,-0.73,0.1,0.95,-2.08,-0.49,-2.49,4.53,6.61,-183.92
2.36,-3.11,-0.63,0.6,-0.9,1.17,-0.94,4.52,-10.34,-83.08
2.19,-1.92,0.12,0.07,-2.52,1.35,0.29,8.51,-0.09,-24.06
1.53,-0.9,0.19,2.52,-1.92,0.31,-1.42,3.74,11.01,17.76
0.07,-1.11,-0.95,0.83,-0.42,0.7,1.51,7.33,-9.51,36.1
3.1,-0.87,-0.56,0.81,-1.78,-1.53,0.84,-0.15,5.89,0.57
2.65,-0.95,-1.02,1.91,-2.61,0.92,1.35,-0.23,10.39,128.92
1.45,-1.44,-1.51,0.29,-2.8,-0.74,-1.15,4.66,3.02,-338.05
1.08,-1.01,0.41,0.37,-0.69,0.38,-1.15,14.2,5.66,-34.95
1.84,-0.81,1.29,0.36,-0.52,-0.72,-0.86,-2.29,13.42,33.23
1.88,-2.57,-1.32,2.7,-0.31,-1.32,-2.3,3.34,-0.73,-185.64
0.7,-2.94,-1.13,0.87,-0.05,1.39,0.22,-3.68,-6.99,-53.86
1.33,-2.2,0.32,2.79,-0.2,-1.18,0.04,4.84,7.25,51.57
2.08,-0.67,-1.11,2.56,-2.3,-0.88,-0.69,4.99,4.51,-57.87
1.97,-0.31,0.5,1.87,-1.97,-0.37,1.03,-7.91,10.64,155.84
1.55,-2.47,-1.51,1.1,-2.34,1.05,0.56,-5.23,-5.74,-118.03
0.59,-1.54,-0.14,0.17,-1.73,0.11,-2.18,1.96,-4.94,-270.44
1.03,-2.04,0.47,2.95,-1.94,0.92,1.25,3.39,5.2,151.26
2.81,-0.28,-0.14,0.91,-0.83,-0.51,-1.93,-9.11,7.51,1.72
2.23,-1.61,-0.32,2.29,-2.74,-1.22,0.54,5.42,0.81,-47.56
1.96,-3.12,-1.29,2.67,-2.36,-0.09,-0.58,-4.68,-5.92,-161.0
2.65,-1.04,-0.47,1.92,-1.5,-0.6,1.47,-4.18,12.33,139.23
2.04,-0.38,1.38,0.8,-0.91,-0.81,-1.45,-7.54,7.58,38.39
0.13,-0.02,0.39,2.87,-2.36,0.97,-1.08,6.61,7.6,51.57
2.7,-3.09,1.33,0.36,-1.67,0.22,1.2,8.24,5.44,60.16
2.9,-1.66,-0.35,2.99,-1.45,-1.06,-0.38,-1.91,9.39,56.72
0.98,-1.55,0.87,3.03,-0.15,1.28,-2.66,-0.26,0.92,103.13
1.47,-2.35,0.79,2.52,-1.64,0.36,-0.41,7.07,7.71,42.4
1.34,-0.38,0.05,1.49,-3.1,0.81,1.47,5.57,9.69,96.26
0.57,-2.8,0.69,0.5,-1.68,-1.54,-0.99,-0.18,-1.91,-300.8
3.05,-1.93,-0.41,2.94,-2.43,-1.54,-0.86,2.5,2.14,-67.61
3.07,-1.86,0.71,0.91,-2.93,-1.27,-1.83,-4.36,3.08,-183.35
0.55,-3.08,0.99,2.58,-0.95,0.49,-2.37,5.46,-1.32,-102.56
0.31,-0.11,0.08,0.25,-0.59,-0.89,1.06,15.83,1.31,6.3
1.27,-2.17,-0.36,2.55,-0.07,1.44,-0.31,0.64,5.74,134.65
1.81,-0.64,-1.37,1.26,-0.27,-0.92,0.73,10.36,9.28,34.38
3.03,-1.14,-0.32,1.76,-0.03,0.4,-0.64,-12.8,3.17,175.33
1.38,-1.17,0.47,0.22,-1.98,-1.06,-1.17,3.78,2.61,-189.65
0.51,-1.07,0.45,2.97,-1.71,-1.15,-2.84,5.52,1.85,-162.72
1.47,-1.48,0.16,2.24,-0.88,-1.2,-1.03,7.81,6.15,-41.25
1.69,-2.11,-0.26,1.71,-1.98,0.41,-2.11,6.61,-2.46,-151.83
2.66,-0.02,1.21,2.56,-0.4,0.9,-3.0,-1.19,0.1,224.03
0.61,-1.58,-1.07,0.09,-1.45,-0.36,-2.51,-0.55,-3.06,-359.24
0.23,-1.56,0.59,1.28,-2.27,-1.21,-2.53,5.89,-3.41,-313.41
1.94,-2.73,-1.24,1.78,-1.57,0.51,-3.07,1.38,-4.78,-250.96
0.07,-2.84,-1.1,0.04,-2.24,0.12,-2.98,-1.03,2.68,-511.65
1.9,-1.3,-1.29,2.53,-0.14,1.42,-0.5,-2.47,8.37,150.11
0.89,-0.12,-1.4,1.8,-1.8,-0.8,-0.51,7.83,-1.77,-111.15
1.86,-2.8,0.9,2.12,-2.59,-1.13,-1.62,1.57,-0.96,-186.78
2.05,-0.54,0.54,1.6,-2.58,0.47,-2.24,-1.15,8.8,-40.11
1.6,-2.81,-0.86,0.05,-2.22,-1.44,-1.25,1.44,-2.15,-397.06
2.17,-1.43,0.84,1.24,-2.52,-1.3,0.81,4.24,5.2,-10.89
0.48,-0.07,-0.23,0.76,-1.27,-0.66,-1.04,11.07,-0.52,-116.31
1.57,-1.68,-0.0,0.18,-0.46,-0.71,-1.73,8.53,-1.82,-162.15
1.77,-1.96,0.0,1.13,-0.54,0.86,-1.1,11.43,7.28,9.17
1.37,-1.76,0.83,2.02,-0.14,0.89,0.16,-3.5,5.23,193.09
3.06,-0.46,-1.26,0.35,-0.66,1.47,0.01,-7.09,11.52,143.81
3.02,-0.04,1.39,2.77,-0.4,1.1,-1.79,0.56,3.26,346.64
1.13,-1.47,-1.44,2.93,-1.77,0.49,-0.02,10.91,-0.89,-8.59
0.97,-0.25,0.48,2.62,-0.7,-1.25,-2.98,0.13,4.68,-63.6
0.75,-2.69,-0.42,2.96,-1.93,-1.13,0.46,-1.17,-7.25,-114.59
0.02,-3.01,-1.19,2.35,-0.59,-0.29,-1.29,-7.66,-1.4,-229.18
0.05,-1.01,-0.34,2.61,-0.89,-1.16,-1.99,7.08,-3.58,-156.42
2.73,-1.08,-0.9,2.4,-0.02,1.35,0.28,-6.12,0.27,272.73
0.62,-0.01,1.28,0.12,-0.9,0.77,0.82,0.33,13.21,154.7
2.17,-0.74,-0.78,1.59,-0.13,-0.77,-0.54,0.41,14.39,45.84
0.22,-0.27,1.1,1.15,-2.7,0.53,-2.6,7.3,2.13,-147.25
0.86,-2.8,-0.16,0.4,-2.33,0.23,-2.6,-1.93,-1.9,-366.69
2.44,-0.71,0.33,2.82,-2.53,1.22,0.5,-8.59,2.56,233.19
3.13,-1.94,0.57,1.1,-0.6,0.47,-2.69,-5.83,8.53,2.29
2.04,-2.98,0.67,2.47,-1.99,-0.77,-0.83,6.29,-1.7,-79.64
1.55,-1.37,-0.92,2.23,-2.14,-0.03,-0.65,9.09,-1.76,-76.2
1.48,-0.98,0.8,2.65,-1.45,0.25,0.87,-5.17,5.59,207.41
1.39,-0.94,-1.35,2.89,-0.45,-0.98,-1.82,6.2,5.32,-72.19
1.35,-0.45,-0.39,1.53,-1.32,-0.64,-1.49,7.92,7.23,-80.79
1.86,-0.21,-1.54,0.37,-1.05,-0.5,-0.72,6.55,0.33,-102.56
0.29,-0.83,1.33,1.5,-1.27,-1.49,-2.5,5.73,3.66,-170.17
3.11,-0.9,0.55,1.87,-0.18,-1.37,0.74,-11.61,-3.3,218.87
2.62,-1.81,-0.91,2.24,-0.18,0.87,0.12,-5.09,8.47,169.02
0.88,-0.72,0.89,3.04,-2.42,0.65,0.34,-0.32,7.94,152.41
1.69,-0.51,-1.51,2.08,-0.65,-0.8,1.49,5.55,11.85,102.56
2.54,-0.89,-0.44,0.36,-2.88,1.26,-2.36,-0.09,4.54,-138.08
2.9,-0.37,-1.31,1.03,-2.36,-0.32,-1.16,-0.48,2.51,-91.1
1.63,-0.85,0.83,1.58,-1.27,0.78,1.54,-5.22,7.82,242.93
1.81,-1.22,1.38,0.88,-1.78,-0.02,1.46,-1.45,12.68,143.81
0.54,-0.59,-0.13,2.63,-0.01,-0.53,0.63,0.37,7.69,145.53
1.39,-0.87,-1.32,2.1,-2.06,-0.93,-1.63,4.08,0.56,-190.22
0.96,-0.62,-1.0,1.24,-1.39,0.23,-2.26,9.28,-1.2,-162.72
0.54,-0.79,-0.1,2.04,-2.53,-0.78,-0.65,6.55,-3.98,-130.06
2.87,-0.27,0.29,0.01,-0.53,1.3,-0.7,-15.81,4.09,170.17
0.71,-2.35,1.17,1.18,-2.62,1.32,-0.28,8.71,-6.03,-49.85
0.91,-1.71,1.32,2.46,-0.41,1.55,0.08,-1.75,-1.08,240.64
0.47,-2.87,-1.38,1.41,-1.47,-0.39,-1.3,-4.66,4.72,-316.85
2.56,-0.61,-0.9,0.86,-0.66,1.2,0.46,-6.17,12.76,166.73
3.05,-2.57,-1.24,0.35,-2.09,1.39,0.0,4.05,-7.31,-63.6
2.57,-0.63,0.76,1.48,-1.4,-0.23,-1.6,-9.49,6.91,54.43
0.04,-2.15,-0.08,2.88,-0.78,1.36,0.15,5.3,2.14,81.36
1.56,-1.74,1.24,0.76,-1.39,-1.53,0.28,8.2,3.64,-46.98
0.46,-0.96,1.0,0.41,-1.47,0.37,1.15,14.17,3.33,55.0
1.9,-2.67,0.79,0.64,-1.67,-0.39,-0.66,6.04,-4.58,-118.03
2.82,-1.29,-1.51,1.8,-1.65,-0.3,-0.39,6.73,4.62,-29.79
2.55,-1.74,-0.01,2.86,-1.85,0.24,1.43,-4.88,7.58,199.39
0.57,-0.98,-0.29,2.25,-0.96,1.05,-1.44,10.72,5.62,11.46
1.87,-1.58,-0.73,2.48,-1.29,0.06,0.78,6.3,10.28,91.1
2.43,-2.6,0.07,2.31,-0.97,1.2,0.03,-1.49,8.5,141.52
1.36,-1.15,0.56,2.53,-0.36,1.55,-2.73,-1.18,4.83,100.84
2.55,-2.76,1.05,2.19,-1.71,1.22,-2.39,0.59,7.22,8.59
2.63,-2.24,-0.88,3.05,-1.24,0.57,-2.89,1.44,5.06,-57.3
1.63,-2.93,-1.41,0.09,-0.14,0.97,-2.11,-8.6,-3.86,-223.45
2.41,-0.59,-1.55,1.37,-0.08,1.51,-1.56,-2.56,12.43,86.52
2.08,-3.14,-1.34,1.25,-0.39,0.28,0.16,1.16,-11.08,-63.03
2.93,-1.29,-0.48,0.76,-1.04,-0.59,-2.23,0.61,7.97,-111.15
2.3,-0.25,-1.45,2.34,-3.1,0.27,0.71,3.45,7.7,46.98
0.93,-1.09,-1.51,0.2,-2.1,-1.09,-0.79,3.24,2.02,-312.26
1.4,-1.4,0.89,0.93,-2.58,1.45,-2.7,6.56,4.44,-115.16
3.03,-2.77,-0.36,0.07,-0.25,-0.91,-1.79,5.78,-2.82,-170.74
0.09,-1.61,0.18,0.6,-2.95,-0.41,0.8,-1.0,-2.65,-189.08
2.43,-2.97,0.11,3.13,-0.4,0.14,-1.02,-2.94,6.32,81.36
1.29,-2.47,-1.31,2.92,-1.62,-0.43,-3.14,2.85,-2.7,-272.73
2.98,-2.34,1.49,0.08,-0.63,0.92,-0.54,-6.25,12.33,112.3
0.71,-0.5,1.12,1.65,-2.59,0.04,-1.54,8.17,4.73,-63.6
1.34,-2.14,0.42,1.59,-1.36,0.63,-2.24,9.74,0.38,-100.84
1.93,-2.53,0.79,1.69,-1.69,0.85,0.19,7.43,8.77,70.47
1.76,-2.75,-0.42,1.18,-1.49,0.89,0.66,7.52,-7.41,-9.74
0.07,-0.1,1.39,0.04,-2.85,1.48,-1.33,9.41,0.19,-74.48
2.46,-1.62,1.36,3.06,-1.87,-0.81,-1.38,-4.08,6.37,68.75
2.41,-0.84,-0.06,2.42,-1.46,0.1,-0.19,-9.34,9.53,136.36
1.78,-0.02,-1.11,0.78,-0.19,-1.21,-3.02,2.19,10.95,-171.31
2.57,-1.04,1.03,0.35,-1.07,-1.25,-0.45,-2.63,9.95,8.02
2.49,-0.32,1.31,0.15,-1.58,-0.88,-1.74,-6.04,4.75,-32.66
2.8,-0.01,-0.43,1.48,-1.75,-1.31,1.21,-8.87,8.06,114.02
2.77,-2.3,-0.76,1.37,-0.02,1.23,1.23,0.73,6.67,201.68
2.31,-2.41,-0.33,2.36,-0.55,0.16,1.55,0.25,7.98,177.04
1.92,-1.19,-0.2,1.51,-0.51,-0.37,-0.29,4.75,14.21,49.85
2.36,-1.08,-0.84,2.79,-1.71,1.15,1.36,-4.96,6.69,230.9
0.56,-1.57,0.38,2.8,-2.82,-0.86,-1.16,3.97,-5.34,-152.98
0.29,-1.02,0.69,2.93,-1.56,0.97,-1.11,4.19,6.18,68.18
2.34,-1.12,-0.54,2.14,-0.42,-0.78,-1.91,-0.88,9.98,-16.62
1.81,-0.9,-0.97,1.42,-0.43,0.23,-0.46,8.37,12.6,40.11
0.08,-0.98,1.52,1.85,-2.93,1.37,0.18,9.05,4.33,62.45
1.37,-3.11,-1.0,0.8,-0.24,1.24,1.04,-0.59,-7.14,5.73
2.35,-0.93,0.24,2.83,-0.29,-0.76,-2.84,-3.71,2.8,34.38
2.51,-1.59,-0.2,1.15,-1.58,-1.02,0.11,6.93,5.1,-35.52
0.85,-1.76,-0.01,2.53,-0.33,-0.37,1.34,5.28,6.73,128.92
0.26,-0.96,1.47,2.38,-0.19,0.38,0.78,-2.68,-1.36,236.06
2.28,-2.35,-1.56,0.44,-2.19,-1.49,1.25,-2.61,1.12,-207.41
0.5,-1.22,0.78,1.42,-1.14,-0.72,-0.23,13.52,0.66,-34.95
2.77,-2.8,-1.39,1.89,-0.36,0.99,-0.51,8.47,3.39,33.8
1.3,-0.79,1.19,2.03,-0.05,-0.36,1.53,-3.81,0.52,277.88
0.65,-1.36,1.51,2.94,-1.55,-0.02,-2.92,2.53,2.66,-42.97
0.89,-0.07,-0.3,0.1,-0.14,0.96,0.9,8.29,11.89,134.07
2.84,-3.14,0.9,1.82,-2.56,0.71,-1.1,6.92,2.8,-30.37
1.58,-0.56,0.67,2.12,-2.87,1.18,1.31,-3.2,9.0,196.52
3.01,-0.68,-0.38,2.63,-2.27,-1.44,-1.37,-3.33,4.55,-28.65
2.24,-0.96,-0.32,2.16,-2.83,-1.1,-2.62,-0.18,6.07,-196.52
0.73,-1.15,1.23,1.88,-1.27,-1.4,-2.32,4.83,4.21,-131.78
2.49,-2.55,-0.4,1.25,-2.09,0.93,-0.6,8.92,-3.34,-55.58
1.73,-0.2,-0.83,1.78,-2.8,-1.54,0.2,1.08,2.44,-95.11
1.06,-2.7,-1.35,2.97,-2.97,1.56,1.11,1.33,-4.38,-18.33
0.73,-1.64,1.53,0.49,-3.09,-0.59,-2.61,4.57,1.97,-296.79
0.88,-0.94,-0.61,2.3,-0.75,0.83,-1.21,9.34,8.32,28.65
0.38,-0.66,-0.82,0.54,-3.1,-0.6,0.81,2.33,0.93,-197.67
2.56,-2.29,-0.3,1.11,-1.58,-0.6,-0.67,6.83,-1.71,-101.41
0.78,-1.26,1.16,0.67,-2.36,-1.0,1.24,8.55,-1.51,-44.12
2.05,-0.18,1.35,1.21,-1.43,1.08,0.9,-8.37,-2.06,285.33
